Process Name,Count
System Idle Process,1
System,1
Registry,1
LockApp.exe,1
smss.exe,1
svchost.exe,91
winlogon.exe,1
csrss.exe,2
wininit.exe,1
services.exe,1
lsass.exe,1
unsecapp.exe,1
fontdrvhost.exe,2
Teams.exe,8
ACCStd.exe,1
dwm.exe,1
SCNotification.exe,1
ctfmon.exe,1
SystemSettings.exe,1
ApplicationFrameHost.exe,1
amdfendrsr.exe,1
atiesrxx.exe,1
explorer.exe,1
Microsoft.SharePoint.exe,1
slack.exe,6
atieclxx.exe,1
MemCompression,1
wlanext.exe,1
conhost.exe,9
spoolsv.exe,1
armsvc.exe,1
mongod.exe,1
cmd.exe,2
mysqld.exe,2
SMSvcHost.exe,2
RtkAudUService64.exe,2
MsSense.exe,1
MsMpEng.exe,1
UserOOBEBroker.exe,1
SearchIndexer.exe,1
dasHost.exe,1
python.exe,1
Code.exe,10
WmiPrvSE.exe,6
CmRcService.exe,1
QAAgent.exe,1
NisSrv.exe,1
powershell.exe,2
aeagent.exe,1
ZSAService.exe,1
agentmonitor.exe,1
ACCSvc.exe,1
keyacc32.exe,1
SenseTVM.exe,1
SgrmBroker.exe,1
SecurityHealthSystray.exe,1
SenseCE.exe,1
dllhost.exe,3
ZSATrayManager.exe,1
sihost.exe,1
kass.exe,1
taskhostw.exe,2
StartMenuExperienceHost.exe,1
RuntimeBroker.exe,5
GoogleCrashHandler.exe,1
ZSATray.exe,1
GoogleCrashHandler64.exe,1
ZSATunnel.exe,1
QAAdminAgent.exe,1
smartscreen.exe,1
msedge.exe,19
QASvc.exe,1
SecurityHealthService.exe,1
SearchFilterHost.exe,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
OneDrive.exe,1
RtkUWP.exe,1
CompPkgSrv.exe,1
jusched.exe,1
FileCoAuth.exe,1
ShellExperienceHost.exe,1
uhssvc.exe,1
TextInputHost.exe,1
SearchApp.exe,1
CcmExec.exe,1
notepad.exe,1
SenseIR.exe,1
TrustedInstaller.exe,1
rundll32.exe,1
SenseNdr.exe,1
ZSAUpm.exe,1
bash.exe,1
LiveUpdateChecker.exe,1
git-bash.exe,1
mintty.exe,1
TiWorker.exe,1
WUDFHost.exe,1
fodhelper.exe,1
SearchProtocolHost.exe,1
